000020ac,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
00002d40,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001
00007903,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001
00012697,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
0006259c,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001
00090bdd,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
000a3c4d,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001
000a6a68,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991
000b46d6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991
000d9a97,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
0010a828,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001
0012ca67,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0012edc8,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001
00146075,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001
001518ed,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001
0015aac8,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
00179996,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001
0018703d,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001
001a111b,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
001ade62,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
001cb1d9,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001
001dcfcc,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001
001f9f58,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001
001fd0f7,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
00224a98,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
0022f8c8,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
0023bbc0,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
0023e719,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
0023f7fe,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991
0024597f,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991
002664f1,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001
00267506,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001
0028a913,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
002a8dff,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001
