000020ac,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005
00002d40,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005,0.005
00007903,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005
00012697,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005
0006259c,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005
00090bdd,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005
000a3c4d,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005
000a6a68,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955
000b46d6,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955
000d9a97,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005
0010a828,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005
0012ca67,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0012edc8,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005
00146075,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005
001518ed,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005
0015aac8,0.955,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
00179996,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005
0018703d,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005,0.005
001a111b,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005
001ade62,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
001cb1d9,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005
001dcfcc,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955,0.005
001f9f58,0.005,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005
001fd0f7,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005
00224a98,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005
0022f8c8,0.005,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005
0023bbc0,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005
0023e719,0.005,0.005,0.005,0.955,0.005,0.005,0.005,0.005,0.005,0.005
0023f7fe,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.955
